id	SYSTEM	SUBSYSTEM	DESCRIPTION	ORIGINAL.SOURCE	COMMENTS	REFERENCE	PATHWAYS.USED
X190	GLYCAN METABOLISM	O-GLYCAN METABOLISM	Biosynthesis of core4 (NAcetyl-beta-D-glucosaminyl-1,6-(Nacetyl-beta-D-glucosaminyl-1,3)-N-acetyl-D-galactosaminyl-R)	recon2 (232)	The glycoproteins with core 4 branch presents in selected mucin-secreting cell types, such as colonic tissues and many colon-derived cell lines, and core 4 branch provides additional backbone structure for Keratan sulfate biosynthesis.	PAGE 241	GALNTg (GalNAc transferase, Golgi apparatus [g] : Ser/Thr + udpacgal --> Tn_antigen + h + udp) - CORE3GTg (Core 3 beta-GlcNAc-transferase, Golgi apparatus - Tn_antigen + uacgam --> core3 + h + udp) - CORE4GTg (Core 4 beta6-GalNAc-transferase, Golgi apparatus - core3 + uacgam --> core4 + h + udp)
X191	GLYCAN METABOLISM	O-GLYCAN METABOLISM	Biosynthesis of Tn_antigen (Glycoprotein N-acetyl-D-galactosamine)	recon2 (233)	The Tn-antigen often occurs in advanced tumors, which is also the precursor to T-antigen (core 1).	PAGE 241	GALNTg (GalNAc transferase, Golgi apparatus [g] : Ser/Thr + udpacgal --> Tn_antigen + h + udp)
X192	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	Keratan sulfate biosynthesis from O-glycan (core 2-linked)	recon2 (68)	Keratan sulfate (Type II KS) is found in cartilage and is exclusively linked to the protein aggrecan via a mucin “Core 2” structure.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2874674/	S23T2g (cmpacna[g] + core2[g] -> cmp[g] + h[g] + ksii_core2_pre1[g] ) -G14T2g (ksii_core2_pre1[g] + udpgal[g] -> h[g] + ksii_core2_pre2[g] + udp[g] ) -AG13T1g (ksii_core2_pre2[g] + uacgam[g] -> h[g] + ksii_core2_pre3[g] + udp[g] ) -G14T3g (ksii_core2_pre3[g] + udpgal[g] -> h[g] + ksii_core2_pre4[g] + udp[g] ) -AG13T2g (ksii_core2_pre4[g] + uacgam[g] -> h[g] + ksii_core2_pre5[g] + udp[g] ) -S6T1g (ksii_core2_pre5[g] + paps[g] -> h[g] + ksii_core2_pre6[g] + pap[g] ) -G14T4g (ksii_core2_pre6[g] + udpgal[g] -> h[g] + ksii_core2_pre7[g] + udp[g] ) -AG13T3g (ksii_core2_pre7[g] + uacgam[g] -> h[g] + ksii_core2_pre8[g] + udp[g] ) -S6T2g (ksii_core2_pre8[g] + paps[g] -> h[g] + ksii_core2_pre9[g] + pap[g] ) -G14T5g (ksii_core2_pre9[g] + udpgal[g]-> h[g] + ksii_core2_pre10[g] + udp[g] ) -S6T3g (ksii_core2_pre10[g] + paps[g] -> h[g] + ksii_core2[g] + pap[g])
X193	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	Keratan sulfate biosynthesis from O-glycan (core 4-linked)	recon2 (69)	Keratan sulfate has been found especially in the cornea, cartilage, and bone. It is also synthesized in the central nervous system where it participates both in developmen and in the glial scar formation following an injury. Keratan sulfates are large, highly hydrated molecules which in joints can act as a cushion to absorb mechanical shock.	http://bigg1.ucsd.edu/bigg/showMap.pl?type=%27reaction%27&id=2299366&map=681892	AG13T16g (ksii_core4_pre2[g] + uacgam[g] -> h[g] + ksii_core4_pre3[g] + udp[g] )-AG13T17g (ksii_core4_pre4[g] + uacgam[g] -> h[g] + ksii_core4_pre5[g] + udp[g] )- AG13T18g (ksii_core4_pre7[g] + uacgam[g] -> h[g] + ksii_core4_pre8[g] + udp[g] )-G14T18g (core4[g] + 2 udpgal[g] -> 2 h[g] + ksii_core4_pre1[g] + 2 udp[g] )-G14T19g (ksii_core4_pre3[g] + udpgal[g] -> h[g] + ksii_core4_pre4[g] + udp[g] )-G14T20g (ksii_core4_pre6[g] + udpgal[g] -> h[g] + ksii_core4_pre7[g] + udp[g] )-G14T21g (ksii_core4_pre9[g] + udpgal[g] -> h[g] + ksii_core4_pre10[g] + udp[g] )-S23T4g (cmpacna[g] + ksii_core4_pre1[g] -> cmp[g] + h[g] + ksii_core4_pre2[g] )-S6T16g (ksii_core4_pre5[g] + paps[g] -> h[g] + ksii_core4_pre6[g] + pap[g] )-S6T17g (ksii_core4_pre8[g] + paps[g] -> h[g] + ksii_core4_pre9[g] + pap[g] )-S6T18g (ksii_core4_pre10[g] + paps[g] -> h[g] + ksii_core4[g] + pap[g])
X194	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	Keratan sulfate degradation	recon2 (179)	Keratan sulfate proteoglycans (KSPGs) are degraded in lysosomes as part of normal homeostasis of glycoproteins; otherwise, it might cause undigested fragments building up and causing a variety of lysosomal storage diseases.// this task as it is will fail for iHsa and iRno model as the degradation pathway for keratan sulfate is described differently :RCR13526 ( H2O + keratan sulfate I -> 6-deoxy-L-galactose + keratan sulfate I, degradation product 1) - RCR13526 ( m02040[l] + m02278[l] -> m01159[l] + m02237[l]) - RCR13527 ( H2O + keratan sulfate I, degradation product 1 -> [protein]-L-asparagine + keratan sulfate I, degradation product 2) - RCR13528 ( H2O + keratan sulfate I, degradation product 2 -> N-acetylglucosamine + keratan sulfate I, degradation product 3) - RCR13529 ( H2O + keratan sulfate I, degradation product 3 -> Neu5Ac + keratan sulfate I, degradation product 4) - RCR13530 ( H2O + keratan sulfate I, degradation product 4 -> sulfate + keratan sulfate I, degradation product 5) - RCR13531 ( 2 H2O + keratan sulfate I, degradation product 5 -> 2 galactose + keratan sulfate I, degradation product 6) - RCR13532 ( H2O + keratan sulfate I, degradation product 6 -> sulfate + keratan sulfate I, degradation product 7) - RCR13534 ( 2 H2O + keratan sulfate I, degradation product 7 -> 2 N-acetylglucosamine + keratan sulfate I, degradation product 8 ) - RCR13535 ( H2O + keratan sulfate I, degradation product 8 -> galactose + keratan sulfate I, degradation product 9) - RCR13536 ( H2O + keratan sulfate I, degradation product 9 -> sulfate + keratan sulfate I, degradation product 10 ) - RCR13538 ( 2 H2O + keratan sulfate I, degradation product 9 -> sulfate + N-acetylglucosamine + keratan sulfate I, degradation product 11) - RCR13539 ( H2O + keratan sulfate I, degradation product 11 -> galactose + keratan sulfate I, degradation product 12) - RCR13540 ( H2O + keratan sulfate I, degradation product 12 -> sulfate + keratan sulfate I, degradation product 13 ) - RCR13542 ( 2 H2O + keratan sulfate I, degradation product 12 -> sulfate + N-acetylglucosamine + keratan sulfate I, degradation product 14)...	http://www.reactome.org/content/detail/2022857	FUCASE2ly (h2o[l] + ksi[l] -> fuc_L[l] + ksi_deg1[l] )-GASNASE3ly (h2o[l] + ksi_deg1[l] -> Asn_X_Ser_Thr[l] + ksi_deg2[l] )-ENGASE3ly (h2o[l] + ksi_deg2[l] -> acgam[l] + ksi_deg3[l] )-SIAASE2ly (h2o[l] + ksi_deg3[l] -> acnam[l] + ksi_deg4[l] )-S6TASE10ly (h2o[l] + ksi_deg4[l] <=> h[l] + ksi_deg5[l] + so4[l] )-GALASE3ly (2 h2o[l] + ksi_deg5[l] -> 2 gal[l] + ksi_deg6[l] )-NACHEXA9ly (3 h2o[l] + ksi_deg6[l] ->2 acgam[l] + h[l] + ksi_deg8[l] + so4[l] )-GALASE4ly (h2o[l] + ksi_deg8[l] -> gal[l] + ksi_deg9[l] )-NACHEXA10ly (2 h2o[l] + ksi_deg9[l] -> acgam[l] + h[l] + ksi_deg11[l] + so4[l] )-GALASE5ly (h2o[l] + ksi_deg11[l] -> gal[l] + ksi_deg12[l] )-NACHEXA11ly (2 h2o[l] + ksi_deg12[l] -> acgam[l] + h[l] + ksi_deg14[l] + so4[l] )-GALASE6ly (h2o[l] + ksi_deg14[l] -> gal[l] + ksi_deg15[l] )-NACHEXA12ly (2 h2o[l] + ksi_deg15[l] -> acgam[l] + h[l] + ksi_deg17[l] + so4[l] )-GALASE7ly (h2o[l] + ksi_deg17[l] -> gal[l] + ksi_deg18[l] )-NACHEXA13ly (2 h2o[l] + ksi_deg18[l] -> acgam[l] + h[l] + ksi_deg20[l] + so4[l] )-GALASE8ly (h2o[l] + ksi_deg20[l] -> gal[l] + ksi_deg21[l] )-NACHEXA14ly (2 h2o[l] + ksi_deg21[l] -> acgam[l] + h[l] + ksi_deg23[l] + so4[l] )-GALASE9ly (h2o[l] + ksi_deg23[l] -> gal[l] + ksi_deg24[l] )-NACHEXA15ly (2 h2o[l] + ksi_deg24[l] -> acgam[l] + h[l] + ksi_deg26[l] + so4[l] )-GALASE10ly (h2o[l] + ksi_deg26[l] -> gal[l] + ksi_deg27[l] )-NACHEXA16ly (2 h2o[l] + ksi_deg27[l] -> acgam[l] + h[l] + ksi_deg29[l] + so4[l] )-GALASE11ly (h2o[l] + ksi_deg29[l] -> gal[l] + ksi_deg30[l] )-NACHEXA17ly (2 h2o[l] + ksi_deg30[l] -> acgam[l] + h[l] + ksi_deg32[l] + so4[l] )-GALASE12ly h2o[l] + ksi_deg32[l] -> gal[l] + ksi_deg33[l] )-NACHEXA18ly (2 h2o[l] + ksi_deg33[l] -> acgam[l] + h[l] + ksi_deg35[l] + so4[l] )- GALASE13ly (h2o[l] + ksi_deg35[l] -> gal[l] + ksi_deg36[l] )-NACHEXA19ly (2 h2o[l] + ksi_deg36[l] -> acgam[l] + h[l] + ksi_deg38[l] + so4[l] )-GALASE14ly (h2o[l] + ksi_deg38[l] -> gal[l] + ksi_deg39[l] )-NACHEX21ly (h2o[l] + ksi_deg39[l] -> acgam[l] + ksi_deg40[l] )-GALASE15ly (h2o[l] + ksi_deg40[l] -> gal[l] + ksi_deg41[l] )-NACHEX22ly (h2o[l] + ksi_deg41[l] -> acgam[l] + m2mn[l] )
X195	GLYCAN METABOLISM	KERATAN SULFATE METABOLISM	Keratan sulfate biosynthesis from N-glycan	recon2 (182)	Keratan sulfate (Type I KS) is produced by corneal keratocytes and is thought to play a role of a dynamic buffer of corneal hydration.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2874674/	S23T3g (cmpacna[g] + l2fn2m2masn[g] -> cmp[g] + h[g] + ksi_pre1[g] )-AG13T4g (ksi_pre1[g] + uacgam[g] -> h[g] + ksi_pre2[g] + udp[g] )-G14T6g (ksi_pre2[g] + udpgal[g] -> h[g] + ksi_pre3[g] + udp[g] )-AG13T5g (ksi_pre3[g] + uacgam[g] -> h[g] + ksi_pre4[g] + udp[g] )-S6T4g ksi (pre4[g] + paps[g] -> h[g] + ksi_pre5[g] + pap[g] )-G14T7g (ksi_pre5[g] + udpgal[g] -> h[g] + ksi_pre6[g] + udp[g] )-AG13T6g (ksi_pre6[g] + uacgam[g] -> h[g] + ksi_pre7[g] + udp[g] )-S6T5g (ksi_pre7[g] + paps[g] -> h[g] + ksi_pre8[g] + pap[g] )-G14T8g (ksi_pre8[g] + udpgal[g] -> h[g] + ksi_pre9[g] + udp[g] )-AG13T7g (ksi_pre9[g] + uacgam[g] -> h[g] + ksi_pre10[g] + udp[g] )-S6T6g (ksi_pre10[g] + paps[g] -> h[g] + ksi_pre11[g] + pap[g] )-G14T9g (ksi_pre11[g] + udpgal[g] -> h[g] + ksi_pre12[g] + udp[g] )-AG13T8g (ksi_pre12[g] + uacgam[g] -> h[g] + ksi_pre13[g] + udp[g] )-S6T7g (ksi_pre13[g] + paps[g] -> h[g] + ksi_pre14[g] + pap[g] )-G14T10g (ksi_pre14[g] + udpgal[g] -> h[g] + ksi_pre15[g] + udp[g] )-AG13T9g (ksi_pre15[g] + uacgam[g] -> h[g] + ksi_pre16[g] + udp[g] )-S6T8g (ksi_pre16[g] + paps[g] -> h[g] + ksi_pre17[g] + pap[g] )-G14T11g (ksi_pre17[g] + udpgal[g] -> h[g] + ksi_pre18[g] + udp[g] )-AG13T10g (ksi_pre18[g] + uacgam[g] -> h[g] + ksi_pre19[g] + udp[g] )-S6T9g (ksi_pre19[g] + paps[g] -> h[g] + ksi_pre20[g] + pap[g] )-G14T12g (ksi_pre20[g] + udpgal[g] -> h[g] + ksi_pre21[g] + udp[g] )-AG13T11g (ksi_pre21[g] + uacgam[g] -> h[g] + ksi_pre22[g] + udp[g] )-S6T10g (ksi_pre22[g] + paps[g] -> h[g] + ksi_pre23[g] + pap[g] )-G14T13g (ksi_pre23[g] + udpgal[g] -> h[g] + ksi_pre24[g] + udp[g] )-AG13T12g (ksi_pre24[g] + uacgam[g] -> h[g] + ksi_pre25[g] + udp[g] )-S6T11g (ksi_pre25[g] + paps[g] -> h[g] + ksi_pre26[g] + pap[g] )-G14T14g (ksi_pre26[g] + udpgal[g] -> h[g] + ksi_pre27[g] + udp[g] )-AG13T13g (ksi_pre27[g] + uacgam[g] -> h[g] + ksi_pre28[g] + udp[g] )-S6T12g (ksi_pre28[g] + paps[g] -> h[g] + ksi_pre29[g] + pap[g] )-G14T15g (ksi_pre29[g] + udpgal[g] -> h[g] + ksi_pre30[g] + udp[g] )-AG13T14g (ksi_pre30[g] + uacgam[g] -> h[g] + ksi_pre31[g] + udp[g] )-S6T13g (ksi_pre31[g] + paps[g] -> h[g] + ksi_pre32[g] + pap[g] )-G14T16g (ksi_pre32[g] + udpgal[g] -> h[g] + ksi_pre33[g] + udp[g] )-AG13T15g (ksi_pre33[g] + uacgam[g] -> h[g] + ksi_pre34[g] + udp[g] S6T14g (ksi_pre34[g] + paps[g] -> h[g] + ksi_pre35[g] + pap[g] )-G14T17g (ksi_pre35[g] + udpgal[g] -> h[g] + ksi_pre36[g] + udp[g])- S6T15g (ksi_pre36[g] + paps[g] -> h[g] + ksi[g] + pap[g] )
X2	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	Oxidative phosphorylation via succinate-coenzyme Q oxidoreductase (COMPLEX II)	iHSA (252)	Complex II is a member of the citrate cycle and the only enzyme of that cycle that is an integral part of the membrane.	PAGE 184 - 186	SUCD1m (succinate dehydrogenase - fad + succ <==> fadh2 + fum)
X20	NUCLEOTIDE METABOLISM	SALVAGE	GMP salvage from guanine	recon2 (313)	The purine bases can be reconverted into their respective mononucleotides by reaction with 5-P-ribosyl-PP (salvage pathway). This is catalyzed by adenine P-ribosyl transferase and by hypoxanthine P-ribosyl transferase (HGPRT, which reacts with guanine and with hypoxanthine, the base moiety of IMP). For the phosphorylation of nucleosides, there are several kinases with different specificity.	PAGE 127-128	GUAPRT (guanine phosphoribosyltransferase - gua + prpp --> gmp + ppi)
X21	NUCLEOTIDE METABOLISM	COFACTOR	3'-Phospho-5'-adenylyl sulfate synthesis	iHSA (245)/recon2 (243)	Metabolism of sulfate: For conjugation as well as for reduction reactions, sulfate has to be activated in an ATP-dependent reaction to adenylylsulfate (APS). Since DG0 for hydrolysis of the sulfate-phosphate bond (−71 kJ/mol) is much larger than that for the a-b pyrophosphate bond in ATP (−32.2 kJ/mol), the reaction has to be ‘pulled’ by hydrolysis of the liberated pyrophosphate and by additional phosphorylation of APS to PAPS. PAPS introduces sulfate residues in many compounds; the resulting adenosine 3,5-diphosphate (PAP) is then hydrolyzed to yield 5-AMP	PAGE 66, 69	SADT (sulfate adenylyltransferase - atp + h + so4 --> aps + ppi) - ADSK (adenylyl-sulfate kinase - aps + atp --> adp + h + paps)
X22	NUCLEOTIDE METABOLISM	PURINE CATABOLISM	Degradation of adenine to urate	iHSA (307, 308)/recon2 (92, 93)	PMID: 26316329	PAGE 127-128	ADPT (adenine phosphoribosyltransferase - ade + prpp --> amp + ppi) - AMPDA (Adenosine monophosphate deaminase - amp + h + h2o --> imp + nh4) - NTD11 (5'-nucleotidase (IMP) - h2o + imp --> ins + pi) - PUNP5 (purine-nucleoside phosphorylase (Inosine) - ins + pi <==> hxan + r1p) - XAO2x ( xanthine oxidase - h2o + hxan + o2 --> h2o2 + xan) - XAOx (xanthine - h2o + o2 + xan --> h2o2 + urate)
X23	NUCLEOTIDE METABOLISM	PURINE CATABOLISM	Degradation of guanine to urate	iHSA (309, 310)/recon2 (101)	Purine nucleosides and nucleotides to be degraded are at first cleaved, releasing the free bases (adenosine and AMP are previously deaminated to inosine and IMP, respectively). The bases hypoxanthine and xanthine are oxidized to urate by xanthine oxidase. This is the final product of purine degradation in a number of animals. In blood, urate is transported in protein-bound form. -- http://www.internationaljournalofcardiology.com/article/S0167-5273(15)30342-9/abstract	PAGE 127-128	GUAD (guanine deaminase - gua + h + h2o --> nh4 + xan) - XAND (xanthine dehydrogenase - h2o + nad + xan --> h + nadh + urate)
X24	NUCLEOTIDE METABOLISM	PYRIMIDINE CATABOLISM	Degradation of cytosine	recon2 (97)		PAGE 131-132	CSND (Cytosine deaminase - csn + h + h2o --> nh4 + ura) - DURAD (dihydrouracil dehydrogenase (NADP) - h + nadph + ura <==> 56dura + nadp) - DHPM1 (dihydropyrimidinase (5,6-dihydrouracil) - 56dura + h2o --> cala + h) - UPPN (b-ureidopropionase - cala + (2) h + h2o --> ala-B + co2 + nh4)
X25	NUCLEOTIDE METABOLISM	PYRIMIDINE CATABOLISM	Degradation of uracil	recon2 (277)		PAGE 131-132	DURAD (dihydrouracil dehydrogenase (NADP) - h + nadph + ura <==> 56dura + nadp) - DHPM1 (dihydropyrimidinase (5,6-dihydrouracil) - 56dura + h2o --> cala + h) - UPPN (b-ureidopropionase - cala + (2) h + h2o --> ala-B + co2 + nh4)
X26	CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	Gluconeogenesis from pyruvate	new	In humans the main gluconeogenic precursors are lactate, glycerol, alanine and glutamine. Altogether, they account for over 90% of the overall gluconeogenesis	PAGE 37-38	CITtbm (cit[c] + pep[m] <=>cit[m] + pep[c] ) - ENO (2pg[c] <=>h2o[c] + pep[c] ) -FBA (fdp[c] <=>dhap[c] + g3p[c] ) -FBP (fdp[c] + h2o[c] ->f6p[c] + pi[c] ) -G6PPer (g6p[r] + h2o[r] ->glc_D[r] + pi[r] ) -G6Pter (g6p[c] <=>g6p[r] ) -GAPD (g3p[c] + nad[c] + pi[c] <=>13dpg[c] + h[c] + nadh[c] ) -GLCter (glc_D[c] <=> glc_D[r] ) -PCm (atp[m] + hco3[m] + pyr[m] ->adp[m] + h[m] + oaa[m] + pi[m] ) -PEPCKm (gtp[m] + oaa[m] ->co2[m] + gdp[m] + pep[m] ) -PGI (g6p[c] <=>f6p[c] ) -PGK (3pg[c] + atp[c] <=>13dpg[c] + adp[c] ) -PGM (2pg[c] <=>3pg[c] ) -PYRt2m (h[c] + pyr[c] ->h[m] + pyr[m] ) -TPI (dhap[c] <=>g3p[c] )
X27	CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	Gluconeogenesis from Lactate	iHSA (23)/recon2 (183)	In humans the main gluconeogenic precursors are lactate, glycerol, alanine and glutamine. Altogether, they account for over 90% of the overall gluconeogenesis -- Gluconeogenesis is the formation of glucose (or its phosphates, which are further converted to poly- or oligosaccharides from non-carbohydrate sources	PAGE 37-38	LDH_Lm (lac_L[m] + nad[m] <=> h[m] + nadh[m] + pyr[m])- PCm (atp[m] + hco3[m] + pyr[m] -> adp[m] + h[m] + oaa[m] + pi[m])- PEPCKm (gtp[m] + oaa[m] -> co2[m] + gdp[m] + pep[m])- PGM (2pg[c] <=> 3pg[c]) - CITtbm (cit[c] + pep[m] <=> cit[m] + pep[c])- PGK (3pg[c] + atp[c] <=> 13dpg[c] + adp[c])- GAPD (g3p[c] + nad[c] + pi[c] <=> 13dpg[c] + h[c] + nadh[c])- TPI (dhap[c] <=> g3p[c])- FBA (fdp[c] <=> dhap[c] + g3p[c])- FBP (fdp[c] + h2o[c] -> f6p[c] + pi[c])- PGI (g6p[c] <=> f6p[c])- G6Pter (g6p[c] <=> g6p[r])- G6PPer (g6p[r] + h2o[r] -> glc_D[r] + pi[r])- GLCter (glc_D[c] <=> glc_D[r])
X28	CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	Gluconeogenesis from Glycerol	iHSA (24)/recon2 (152)	In humans the main gluconeogenic precursors are lactate, glycerol, alanine and glutamine. Altogether, they account for over 90% of the overall gluconeogenesis -- Gluconeogenesis is the formation of glucose (or its phosphates, which are further converted to poly- or oligosaccharides from non-carbohydrate sources	PAGE 37-38	GLYK (glycerol kinase - atp + glyc --> adp + glyc3p + h) - G3PD2m (glycerol-3-phosphate dehydrogenase - fad[m] + glyc3p[c] --> dhap[c] + fadh2[m]) - FBA (fructose-bisphosphate aldolase - fdp <==> dhap + g3p) - FBP (fructose-bisphosphatase - fdp + h2o --> f6p + pi) - PGI (glucose-6-phosphate isomerase - g6p <==> f6p) - G6PPer (glucose-6-phosphate phosphatase - g6p + h2o --> glc-D + pi)
X29	CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	Gluconeogenesis from Alanine	iHSA (25)/recon2 (42)	In humans the main gluconeogenic precursors are lactate, glycerol, alanine and glutamine. Altogether, they account for over 90% of the overall gluconeogenesis -- Gluconeogenesis is the formation of glucose (or its phosphates, which are further converted to poly- or oligosaccharides from non-carbohydrate sources	PAGE 37-38	
X3	ENERGY METABOLISM	KREBS CYCLE	Krebs cycle - oxidative decarboxylation of pyruvate	iHSA (253)/recon2 (227)	The citrate cycle (also called Krebs cycle or tricarboxylic acid cycle) plays the central role in metabolism both of eukarya and most prokarya. It is the major site of oxidation of carbon chains from carbohydrates, fatty acids (both entering via acetyl-CoA) and many amino acids to CO2 and water. It supplies NADH as essential substrate for the oxidative phosphorylation in the respiratory chain and thus has a major role in energy metabolism	PAGE 55-56	PDHm (pyruvate dehydrogenase - coa + nad + pyr --> accoa + co2 + nadh)
X30	CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	Gluconeogenesis from Glutamine	iHSA (262)/recon2 (283, 284, 285, 286)	In humans the main gluconeogenic precursors are lactate, glycerol, alanine and glutamine. Altogether, they account for over 90% of the overall gluconeogenesis -- Gluconeogenesis is the formation of glucose (or its phosphates, which are further converted to poly- or oligosaccharides from non-carbohydrate sources	PAGE 37-38	GLUNm (glutaminase (mitochondrial) - gln-L + h2o --> glu-L + nh4)-GLUDxm (glutamate dehydrogenase (NAD) (mitochondrial) - glu-L + h2o + nad <==> akg + h + nadh + nh4) - AKGDm (2-oxoglutarate dehydrogenase - akg + coa + nad --> co2 + nadh + succoa) - SUCOASm (Succinate--CoA ligase (ADP-forming) - atp + coa + succ <==> adp + pi + succoa) - SUCD1m (succinate dehydrogenase -fad + succ <==> fadh2 + fum) - FUMm (fumarase, mitochondrial - fum + h2o <==> mal-L) - ME1m (malic enzyme (NAD), mitochondrial - mal-L + nad --> co2 + nadh + pyr)
X31	CARBOHYDRATES METABOLISM	GLYCOLYSIS/GLUCONEOGENESIS	Ethanol to acetaldehyde	recon2 (88)	Under anaerobic conditions, yeast and a number of bacteria, but also some higher plants convert pyruvate to acetaldehyde by the action of pyruvate decarboxylase. The first step is identical with the E 1 reaction of pyruvate dehydrogenase. Instead of transferring the acyl group of hydroxyethyl-ThPP to lipoamide, however, the group is eliminated. Acetaldehyde is afterwards reduced to ethanol, thus regenerating NAD+. This is similar to lactate formation in animals under anaerobic conditions	PAGE 47	ALCD2if (alcohol dehydrogenase, forward rxn (ethanol -> acetaldehyde) - etoh + nad --> acald + h + nadh)
X32	CARBOHYDRATES METABOLISM	PYRUVATE METABOLISM	Glucose to lactate conversion	iHSA (263)/recon2 (282)	Glycolysis (Embden-Meyerhof pathway) is the conversion of glucose (or, in a wider sense, of hexoses) to pyruvate. In consecutive metabolic steps, pyruvate is oxidized in the citrate cycle or, with insufficient oxygen supply, converted to lactate (e.g., in animals, some microorganisms, and plant roots) or to ethanol (e.g., in yeast and plant roots) in order to reconstitute NAD+, which is required for further progress of glycolysis -- Anaerobic glycolysis is the transformation of glucose to lactate when limited amounts of oxygen (O2) are available. (https://en.wikipedia.org/wiki/Anaerobic_glycolysis)	PAGE 37-38	HEX1 (hexokinase (D-glucose:ATP) - atp + glc-D --> adp + g6p + h) - PGI (glucose-6-phosphate - g6p <==> f6p) - PFK (phosphofructokinase - atp + f6p --> adp + fdp + h) - FBA( fructose-bisphosphate aldolase - fdp <==> dhap + g3p) - TPI (triose-phosphate isomerase - dhap <==> g3p) - GAPD (glyceraldehyde-3-phosphate dehydrogenase - g3p + nad + pi <==> 13dpg + h + nadh) - ACYP (acylphosphatase -13dpg + h2o --> 3pg + h + pi) - PGM (phosphoglycerate mutase - 2pg <==> 3pg) - ENO (enolase- 2pg <==> h2o + pep) - PYK (pyruvate kinase - adp + h + pep --> atp + pyr) -LDH_L (L-lactate dehydrogenase - h + nadh + pyr <==>lac-L + nad )
X33	CARBOHYDRATES METABOLISM	PYRUVATE METABOLISM	Malate to pyruvate conversion	iHSA (264)/recon2 (328, 329)	Malic enzyme’ reaction (frequent in eukarya, including plants and in prokarya): pyruvate + NADPH + CO2 = malate + NADP+. The energy for carboxylation is provided by NADPH oxidation.The reverse reaction in the cytosol is used to supply NADPH. Plant mitochondria contain relatively large amounts of NADlinked malic enzyme	PAGE 46-48	ME1m (malic enzyme (NAD), mitochondrial - mal-L + nad --> co2 + nadh + pyr)
X34	CARBOHYDRATES METABOLISM	PENTOSE PHOSPHATE PATHWAY	Synthesis of fructose-6-phosphate from erythrose-4-phosphate (HMP shunt)	recon2 (327)	The pentose phosphate cycle is a pathway of glucose turnover alternative to glycolysis and occurs in most species. Its major function is the production of reducing equivalents (in form of NADPH) and of pentoses and tetroses for biosynthetic reactions (nucleoside and amino acid syntheses) in variable ratios (see below). It has been estimated that more than 10 % of glucose is shuttled through the pentose phosphate cycle. The enzymes are present in the cytosol and plant plastids. In humans, major activities are found in liver, adipose tissue, lactating mammary glands, adrenal cortex, testis, thyroid gland and erythrocytes.	PAGE 51-52	TKT2 (transketolase - e4p + xu5p-D <==> f6p + g3p)
X35	CARBOHYDRATES METABOLISM	PENTOSE PHOSPHATE PATHWAY	Synthesis of ribose-5-phosphate	recon2 (89 and 122)	Oxidative pentode phosphate pathway	PAGE 51-52	HEX1 (hexokinase (D-glucose:ATP) - atp + glc-D --> adp + g6p + h) - G6PDH2r (glucose 6-phosphate dehydrogenase - g6p + nadp <==> 6pgl + h + nadph) - PGL (6-phosphogluconolactonase - 6pgl + h2o --> 6pgc + h) - GND (phosphogluconate dehydrogenase - 6pgc + nadp --> co2 + nadph + ru5p-D) - RPI (ribose-5-phosphate isomerase - r5p <==> ru5p-D)
X36	CARBOHYDRATES METABOLISM	GALACTOSE METABOLISM	Synthesis of lactose	recon2 (138)	http://www.proteinlounge.com/Pathway/Lactose%20Synthesis // Lactose synthesis takes place in the mammary gland of mammals. UDP-D-glucose is epimerized to UDP-D-galactose. Then, it is condensed with glucose. The enzyme lactose synthase consists of the subunits galactosyl transferase (which preferably condenses UDP-D-galactose with N-acetylglucosamine, e.g., in synthesis of complex glycoproteins, 4.4.2.1) and a-lactalbumin (which changes the specificity, so that the transferase accepts glucose). During pregnancy, the transferase biosynthesis is induced by insulin, cortisol and prolactin, while the lactalbumin biosynthesis is inhibited by progesterone. Shortly before birth, the progesterone concentration decreases and this inhibition ceases.Lactose synthesis starts.	PAGE 49	GALK (galactokinase - atp + gal --> adp + gal1p + h) - GALT (galactose-1-phosphate uridylyltransferase - gal1p + h + utp <==> ppi + udpgal) - UDPGALtg (UDP-Gal Golgi transport via CMP antiport - udpgal[c] + ump[g] <==> udpgal[g] + ump[c]) - UGALGTg (UDPgalactose:D-glucose 4-beta-D-galactosyltransferase, Golgi apparatus - glc-D + udpgal --> h + lcts + udp)
